sample_id,sp_code,wet_weight,weight_1,weight_2,weight_3,weight_4,weight_5
0,plate,1.445,1.445,1.445,1.445,1.445,1.445
1,cvig,5.683,2.852,2.844,2.835,2.825,2.83
2,cvig,3.374,2.276,2.272,2.268,2.26,2.265
3,alec,1.685,1.571,1.571,1.571,1.566,1.57
4,pign,9.276,4.32,4.128,4.099,4.079,4.079
5,pign,4.376,2.463,2.449,2.44,2.431,2.433
6,aaeg,1.459,1.457,1.455,1.455,1.453,1.453
7,dcar,14.381,8.028,6.833,5.679,5.636,5.63
8,dcar,13.472,7.26,5.675,5.284,5.249,5.241
9,dcar,5.801,3.044,2.76,2.723,2.711,2.711
10,open,1.474,1.466,1.466,1.464,1.463,1.464
11,pvin,7.601,4.095,3.841,3.811,3.792,3.792
12,pvin,4.28,2.69,2.539,2.525,2.512,2.512
13,mbis,2.252,1.811,1.808,1.807,1.8,1.805
14,bpro,2.336,1.956,1.95,1.945,1.936,1.939
15,ocon,1.709,1.615,1.614,1.611,1.607,1.61